編號,性別,國文成績,英語成績,數學成績,自然科成績,社會科成績,作文成績
0,1,A+,A,A+,A++,A,4
1,1,B,B,B+,B,B,5
2,1,B+,B+,A,B+,B+,4
3,0,A+,A++,A+,A++,A++,6
4,0,A++,A++,A+,A,A++,6
5,0,A++,B+,B++,A,B++,5
6,0,B+,A,A++,A+,A+,4
7,1,B+,A,B,B,A,5
8,1,A++,A+,A++,A++,A++,5
9,1,A,A,A+,A+,A++,6
10,0,A+,A++,B++,A,B++,5
11,0,A,A+,A,B++,A,6
12,0,A+,A,A,A,B+,5
13,0,C,C,C,C,C,0
14,1,B+,B++,A,B,B+,4
15,1,A+,A++,A++,A++,A++,4
16,1,B,A,B,B,B+,4
17,1,A++,A,A+,A++,A++,5
18,1,B++,B++,B++,A,B++,4
19,1,A,B++,B++,B++,B+,5
20,1,A+,A,A+,B++,A,5
21,1,A++,A++,A+,A++,A++,5
22,1,A+,A,A+,A++,A+,4
23,1,B,B,B,B,B,3
24,1,B++,A,A,B++,B++,4
25,1,B+,B++,B,B,B,4
26,1,B++,B,A,B++,B++,4
27,1,B++,A+,A,A,A++,5